State,Current Smokers,Current Smoking %,Tried to Quit,Tried to Quit %,Former Smokers,Never Smokers
Alabama,"590,423",15.60%,"426,231",63.00%,"891,517","2,296,686"
Alaska,"82,005",15.90%,"53,397",58.10%,"139,430","293,181"
Arizona,"661,867",12.70%,"370,069",53.00%,"1,374,729","3,186,932"
Arkansas,"388,531",18.70%,"217,744",48.80%,"559,997","1,124,807"
California,"2,644,835",9.70%,"1,459,787",58.80%,"5,812,322","18,691,645"
Colorado,"458,002",10.70%,"298,477",56.60%,"1,125,973","2,709,007"
Connecticut,"253,988",10.00%,"201,029",63.60%,"672,151","1,612,060"
Delaware,"95,157",12.90%,"64,361",59.20%,"182,668","459,419"
District of Columbia,"52,693",10.60%,"38,895",63.70%,"84,212","358,935"
Florida,"1,772,891",11.30%,"1,297,816",54.70%,"4,244,807","9,633,492"
Georgia,"932,114",12.50%,"702,850",59.00%,"1,624,158","4,883,859"
Hawaii,"106,993",10.00%,"67,369",54.50%,"275,229","690,591"
Idaho,"169,343",11.90%,"93,294",52.50%,"369,035","889,992"
Illinois,"1,134,877",12.40%,"619,126",52.90%,"2,164,375","5,839,570"
Indiana,"744,030",16.20%,"490,232",52.10%,"1,171,039","2,674,912"
Iowa,"345,604",14.70%,"190,897",52.30%,"568,868","1,430,119"
Kansas,"304,535",14.50%,"180,132",52.30%,"514,701","1,280,578"
Kentucky,"586,022",17.40%,"328,706",46.30%,"837,861","1,946,238"
Louisiana,"545,699",16.70%,"340,761",57.10%,"820,636","1,894,533"
Maine,"163,138",15.00%,"83,550",48.20%,"315,039","609,310"
Maryland,"414,820",9.60%,"269,646",56.80%,"932,269","2,975,884"
Massachusetts,"552,767",10.40%,"332,074",57.50%,"1,228,633","3,542,146"
Michigan,"1,083,797",15.20%,"778,804",56.20%,"1,903,877","4,134,823"
Minnesota,"530,344",13.00%,"289,277",50.50%,"1,037,125","2,516,103"
Mississippi,"372,157",17.40%,"272,497",61.20%,"485,393","1,284,014"
Missouri,"774,927",16.80%,"427,555",52.40%,"1,221,469","2,626,551"
Montana,"128,571",15.20%,"67,680",50.60%,"244,559","473,234"
Nebraska,"184,594",13.00%,"103,569",52.80%,"340,075","895,510"
Nevada,"337,469",14.80%,"175,504",52.40%,"557,171","1,389,924"
New Hampshire,"112,682",11.20%,"75,733",53.50%,"288,065","606,299"
New Jersey,"651,329",10.40%,"411,889",60.40%,"1,465,143","4,145,531"
New Mexico,"234,900",15.00%,"143,453",57.60%,"408,810","925,780"
New York,"1,551,197",11.30%,"981,337",58.20%,"3,220,451","9,012,106"
North Carolina,"1,150,551",14.50%,"693,944",53.10%,"1,988,689","4,814,159"
North Dakota,"87,020",15.10%,"48,628",50.00%,"144,390","343,954"
Ohio,"1,430,968",17.10%,"855,889",52.20%,"2,141,168","4,803,578"
Oklahoma,"441,892",15.60%,"292,867",55.20%,"769,365","1,621,323"
Oregon,"408,918",12.40%,"209,335",49.10%,"828,233","2,055,647"
Pennsylvania,"1,469,338",14.90%,"811,969",53.50%,"2,520,091","5,859,649"
Rhode Island,"94,203",11.80%,"62,530",58.60%,"221,326","484,903"
South Carolina,"556,443",15.40%,"393,981",55.30%,"955,208","2,104,532"
South Dakota,"93,722",14.00%,"61,017",53.00%,"154,558","420,401"
Tennessee,"935,109",18.50%,"477,759",50.00%,"1,333,489","2,774,324"
Texas,"2,359,962",11.80%,"1,499,052",55.30%,"4,320,027","13,258,974"
Utah,"151,876",6.70%,"101,021",55.40%,"399,898","1,720,745"
Vermont,"62,109",13.00%,"33,740",52.70%,"136,423","278,750"
Virginia,"760,542",12.10%,"485,745",56.90%,"1,445,120","4,075,322"
Washington,"564,828",10.00%,"343,143",53.60%,"1,457,551","3,623,190"
West Virginia,"284,354",21.00%,"151,314",48.50%,"348,820","721,188"
Wisconsin,"606,655",14.30%,"350,171",52.20%,"1,102,620","2,546,702"
Wyoming,"65,111",15.50%,"40,420",51.40%,"112,882","242,526"
